concept_id,publish,domain,variable_type,instance_type,audit_note
APOLIPOPROTEIN_B_MGDL,TRUE,Lipids,lab_value,single,Limited source descriptions.
SUBJECT_ID,FALSE,Administrative,identifier,single,
URINARY_CREATININE,TRUE,Endocrine,lab_value,single,"Unit conflict across exams: Exam E description states mg/ml, Exam F states mg. Units should be verified for consistency."
URINARY_DOPAMINE_CONC,TRUE,Endocrine,lab_value,single,"Unit conflict across exams: Exam D description states pmol/ml, Exam E states nmol/L. Units should be verified for consistency before analysis."
URINARY_EPINEPHRINE_CONC,TRUE,Endocrine,lab_value,single,"Unit conflict across exams: Exams D and E descriptions state pmol/ml, Exam F states nmol/L. Units should be verified for consistency before analysis."
URINARY_NOREPINEPHRINE_CONC,TRUE,Endocrine,lab_value,single,"Unit conflict across exams: Exams D and E descriptions state pmol/ml, Exam F states nmol/L. Units should be verified for consistency before analysis."
URINE_TOTAL_VOLUME_ML,TRUE,Endocrine,lab_value,single,
CREATININE_ASSAY_DATE,FALSE,Chemistry,process_admin,single,Specimen processing/administrative date � not a clinical measurement. Recommend publish=false.
CREATININE_ASSAY_STATUS,FALSE,Chemistry,process_admin,single,"Value labels not provided; status codes unknown. Suppressed for consistency with other creatinine administrative fields (assay date, collect date, received date). A more interpretable data quality flag (CREATININE_FLAG_QNS) is published separately."
CREATININE_ASSAY_TYPE,TRUE,Chemistry,process_admin,single,Value labels not provided; assay type codes unknown. Useful for interpreting creatinine values across exam years. instance_type corrected from 'protocol_component' (not a valid category) to 'single'.
CREATININE_COLLECT_DATE,FALSE,Chemistry,process_admin,single,Specimen collection date � administrative metadata. Recommend publish=false.
CREATININE_FLAG_QNS,TRUE,Chemistry,process_admin,single,Data quality flag useful for investigators to identify missing creatinine values due to insufficient specimen volume.
CREATININE_RECEIVED_DATE,FALSE,Chemistry,process_admin,single,Specimen receipt date � administrative metadata. Recommend publish=false.
EXAM_CENTER,TRUE,Administrative,process_admin,single,"Variable name is generic (CENTER) and appears in exam files G and H but source description references 'Year 0 examining center', indicating this is a baseline enrollment center identifier rather than an exam-specific field. Consistent with other CARDIA datasets where CENTER is a participant-level attribute."
GAMMA_GGT_IUL,TRUE,Chemistry,lab_value,single,One description spells 'transferase' and another 'tranferase' (likely a typo in source). Limited source descriptions.
GFR_ML_MIN_1_73M2,TRUE,Renal,derived_score,single,"Cross-exam formula conflict: Year 25 (Exam G) description specifies the MDRD formula; Year 30 (Exam H) description references a CKD formula (likely CKD-EPI, but not confirmed in source). The third exam description is unspecified. Formula differs across exam years � investigators should not pool values without verifying which formula applies to each exam year."
SERUM_CREATININE_MGDL,TRUE,Renal,lab_value,single,
SERUM_URIC_ACID_MGDL,TRUE,Chemistry,lab_value,single,Limited source descriptions.
COTININE_NG_ML,TRUE,Substance Use,lab_value,single,"Limited source descriptions. Variable descriptions appear to be individual characters ('C','O','T','I','N') rather than meaningful text, suggesting a data encoding or extraction issue with the source metadata."
CENTER_YEAR0,FALSE,Administrative,process_admin,single,Administrative grouping variable; not a clinical measurement. Publish set to false as it is a site identifier rather than a clinical or survey response variable.
CRP_BNII_UG_ML,TRUE,Inflammation,lab_value,single,"Reviewer 2 correctly identified that 'method_variant' is inappropriate here � each exam produces one BN II CRP value; the method distinction is a cross-concept difference, not a within-concept instance structure. Variable HL6CRPBN (Year 25) includes 'BN' in its name but is grouped under CRP_UG_ML � verify whether this variable belongs in CRP_BNII_UG_ML instead. Encoding artifact in raw units field (µg/mL should be �g/mL)."
